cluster,n_subjects,umap_1_center,umap_2_center,ALM_scaled_mean,ALM_scaled_std,ALM_scaled_min,ALM_scaled_max,label_x,label_y,ALM_level,ALM_profile
0,119,8.79798412322998,3.858851671218872,0.4554865434227598,0.748409880495461,-0.767412074583561,2.6874860673373457,8.79798412322998,3.858851671218872,Medium,Medium ALM
1,166,5.610651016235352,1.189778208732605,-0.5344672611128138,0.9295262965673802,-1.9816858985222898,2.355006329830313,5.610651016235352,1.189778208732605,Low,Low ALM
2,230,8.8384428024292,3.1256325244903564,0.10690278901952677,1.0233732653973773,-1.9961415392834652,2.615207863531469,8.8384428024292,3.1256325244903564,Medium,Medium ALM
