node,n_members,members
cube45_cluster0,5,19|74|79|280|321
cube57_cluster0,6,75|142|230|416|461|493
cube58_cluster0,14,53|75|77|142|207|208|219|230|281|322|347|416|493|512
cube59_cluster0,6,28|208|255|281|346|449
cube69_cluster0,5,75|142|230|416|493
cube70_cluster0,7,75|142|219|230|416|442|493
cube72_cluster0,8,52|186|305|339|405|418|423|447
