node,n_members,members
cube0_cluster0,8,45|80|115|129|172|178|199|221
cube1_cluster0,6,19|115|129|154|224|234
cube11_cluster0,5,92|195|205|215|233
cube21_cluster0,5,3|100|148|150|157
cube27_cluster0,5,88|91|95|101|124
cube28_cluster0,6,33|148|150|157|198|214
cube29_cluster0,7,3|100|148|150|157|198|214
cube34_cluster0,8,88|91|95|101|124|162|196|238
cube42_cluster0,5,78|84|109|160|232
