region,n_subjects,umap_1_center,umap_2_center,ALM_scaled_mean,ALM_scaled_std,ALM_scaled_min,ALM_scaled_max,label_x,label_y,ALM_level,ALM_profile
0,132,8.197112083435059,7.393913269042969,0.65734613684278,0.6908293197140202,-0.7188734938911795,2.2872274306753617,8.197112083435059,7.393913269042969,High,High ALM
1,120,3.6522459983825684,9.508197784423828,-0.49572830987527866,0.5584001092716783,-1.7131991843247278,1.2235301804441236,3.6522459983825684,9.508197784423828,Medium,Medium ALM
2,18,1.46713387966156,16.07864761352539,-1.9906854235154856,0.31933185912933054,-2.5225340486311043,-1.481960651665763,1.46713387966156,16.07864761352539,Low,Low ALM
