region,n_subjects,umap_1_center,umap_2_center,BFP_scaled_mean,BFP_scaled_std,BFP_scaled_min,BFP_scaled_max,label_x,label_y,BFP_level,BFP_profile
0,132,8.197112083435059,7.393913269042969,0.5964860435838446,0.795013917326939,-1.7895273555722049,2.7828542181770226,8.197112083435059,7.393913269042969,High,High BFP
1,120,3.6522459983825684,9.508197784423828,-0.5528821614344254,0.7982438345527595,-2.361941909737287,1.74375920344662,3.6522459983825684,9.508197784423828,Low,Low BFP
2,18,1.46713387966156,16.07864761352539,-0.8158516682382282,0.8801403459989192,-2.6372335961468716,0.6419081714557608,1.46713387966156,16.07864761352539,Low,Low BFP
