region,n_subjects,umap_1_center,umap_2_center,BMD_scaled_mean,BMD_scaled_std,BMD_scaled_min,BMD_scaled_max,label_x,label_y,BMD_level,BMD_profile
0,56,-1.8249646425247192,4.674947261810303,-1.3122168465289028,0.48410843723735975,-2.1624891930876027,0.10490373106893107,-1.8249646425247192,4.674947261810303,Low,Low BMD
1,109,9.039636611938477,6.445435047149658,0.7020090820300862,0.6114306290627922,-1.08032438837653,2.0115750536551062,9.039636611938477,6.445435047149658,High,High BMD
2,80,3.5399773120880127,7.447342872619629,-0.0889841297751365,0.6539530675436162,-1.4925776473140813,1.3931951652487795,3.5399773120880127,7.447342872619629,Medium,Medium BMD
