epoch,train_total,train_recon,train_kl_z,train_kl_c,train_reg,train_entropy,val_total,val_recon,val_kl_z,val_kl_c,val_reg,val_entropy,beta_kl_z,beta_kl_c
1,4.050136686528771,1.0160087676881586,2.5650270795359194,0.010010781173494835,1.51760710558845,1.0886014769378218,3.897594928741455,1.0560486316680908,2.504953145980835,0.008982880972325802,1.4213168621063232,1.0896294116973877,0.0,0.00025
2,3.9257553040402606,1.0033957634157347,2.9720140938619966,0.01779922049094751,1.4617157618976333,1.080813093092835,3.727771282196045,1.0396639108657837,3.0966126918792725,0.01767871156334877,1.3445897102355957,1.080933690071106,0.0,0.0005
3,3.7100891673449174,0.9697569435082593,4.23942368238875,0.029307219335465755,1.370689786753608,1.069305086598813,3.3595998287200928,0.9678866267204285,5.41159200668335,0.034973714500665665,1.1963752508163452,1.063638687133789,0.0,0.00075
4,3.430460628953952,0.8881770025179224,7.369338952221916,0.045271745656879206,1.2716458225713192,1.0533405461357634,2.973698377609253,0.7877553105354309,11.688347816467285,0.05565324053168297,1.0934650897979736,1.0429590940475464,0.0,0.001
5,3.1242351555129857,0.7210657336179492,12.337643243734119,0.056781175573473994,1.2020701216262522,1.041831140379304,2.663135051727295,0.5573687553405762,16.08263397216797,0.06249983236193657,1.0533621311187744,1.0361125469207764,0.0,0.00125
6,2.830899602001153,0.5179198708349061,15.86826970739272,0.06154742330602072,1.156962207220133,1.0370648555385256,2.291583776473999,0.33380797505378723,18.97264862060547,0.06481625139713287,0.9793562293052673,1.0337960720062256,0.0,0.0015
7,2.5911866113977524,0.3790085260729188,20.77250247325712,0.06794583262170403,1.106544941953085,1.0306665040914296,2.127209424972534,0.2645329236984253,22.00227165222168,0.07395606487989426,0.9317859411239624,1.0246561765670776,0.0,0.0017499999999999998
8,2.5064823071933486,0.38578459678344357,22.39949470816307,0.07338894896426247,1.0607880921039767,1.0252234125600277,2.1065514087677,0.25181224942207336,17.563926696777344,0.0798933133482933,0.9277990460395813,1.018718957901001,0.0,0.002
9,2.4217733318365893,0.34807096465120035,17.841271280085,0.08074470254981402,1.037269300627477,1.0178676508005382,2.0972275733947754,0.2624762952327728,16.4804744720459,0.09048499166965485,0.9177778959274292,1.0081273317337036,0.0,0.0022500000000000003
10,2.37220528982218,0.3267523857575018,18.082493476497316,0.09241230995620339,1.0231140805679617,1.0061999686713357,1.9812469482421875,0.2410486787557602,19.920543670654297,0.11017265915870667,0.8704556822776794,0.9884396195411682,0.0,0.0025
11,2.320206681501518,0.33032045347019307,21.1940052995404,0.11995946709970826,0.9952675011551496,0.9786528586183937,1.9156452417373657,0.23576173186302185,22.89394760131836,0.13147957623004913,0.8402445316314697,0.9671327471733093,0.0,0.0027500000000000003
12,2.264854857065145,0.317493781592082,22.479139957613157,0.1331530760937524,0.9739635349477379,0.9654592102013745,1.8733937740325928,0.24282482266426086,22.180818557739258,0.12694598734378815,0.815579891204834,0.9716663360595703,0.0,0.003
13,2.2086291915004694,0.31078374588373797,22.328035558311683,0.11918805561308722,0.9492187071772455,0.9794242677179356,1.8642431497573853,0.2638230621814728,21.31165313720703,0.11045878380537033,0.8005245923995972,0.9881535768508911,0.0,0.0032500000000000003
14,2.1489344592233306,0.30728146694238906,23.472060231329166,0.11955515671412921,0.9211067892972705,0.9790571517157323,1.7491230964660645,0.21788406372070312,25.3536434173584,0.1317007839679718,0.7658724784851074,0.9669115543365479,0.0,0.0034999999999999996
15,2.048260906367626,0.2758456621933909,28.205067829020972,0.14093915148846153,0.8864222163135566,0.9576731544096493,1.701046109199524,0.21876013278961182,26.919921875,0.1307433843612671,0.7413817644119263,0.967868983745575,0.0,0.00375
16,1.9667173612464979,0.2798626103158136,29.767866930915314,0.13565257712475304,0.843637552654859,0.9629597559715938,1.6188690662384033,0.21011322736740112,28.067184448242188,0.11445558816194534,0.7046411037445068,0.9841567277908325,0.0,0.004
17,1.930612429831792,0.28052602809609717,32.356259577482646,0.1255175683972905,0.8252630083306322,0.973094745747094,1.5504835844039917,0.2044948786497116,30.74531364440918,0.11789583414793015,0.6732341647148132,0.9807164669036865,0.0,0.00425
18,1.7615752023400613,0.26723612512199624,34.06778342978468,0.11501053821982689,0.7474025748308423,0.9836017599383604,1.5020768642425537,0.22048413753509521,32.88969039916992,0.1109648197889328,0.6410405039787292,0.9876474738121033,0.0,0.0045000000000000005
19,1.6634971979752327,0.2567205867431696,37.204872131347656,0.11041245067003862,0.7036201560381546,0.9881998647763891,1.404242753982544,0.20264583826065063,35.56979751586914,0.13529907166957855,0.6009587645530701,0.9633132219314575,0.0,0.00475
20,1.6414603666194434,0.262357631354656,39.268373211610665,0.1417402950594726,0.6896754705790177,0.9568720078005374,1.3663463592529297,0.2092488557100296,34.629878997802734,0.16071577370166779,0.5786159634590149,0.9378966093063354,0.0,0.005
21,1.5948379248091318,0.26551368890456784,39.705553962189015,0.17004124313882255,0.6646800428918265,0.9285710899575242,1.3753389120101929,0.22593297064304352,34.60930252075195,0.179083913564682,0.5746926665306091,0.9195284247398376,0.0,0.00525
22,1.5236814056785362,0.25354741788604884,41.137735348303345,0.1928960670834606,0.6349893895167749,0.9057162496650103,1.289360523223877,0.19351983070373535,37.58639907836914,0.21659018099308014,0.5477657318115234,0.8820221424102783,0.0,0.0055000000000000005
23,1.500133341955907,0.24613418799002193,43.02208109735285,0.22533600813555485,0.6267883812339561,0.8732763239480916,1.2751550674438477,0.19182631373405457,39.559261322021484,0.25429168343544006,0.5413554906845093,0.8443206548690796,0.0,0.00575
24,1.5065282085566845,0.242218170929881,42.03666220359432,0.2544692118191025,0.6318136997593259,0.8441431279321319,1.3130158185958862,0.20080293715000153,37.10562515258789,0.25235360860824585,0.5557724833488464,0.8462587594985962,0.0,0.006
25,1.4735169804211958,0.2413496263686893,40.48154612420832,0.2605976019669505,0.6156883251319811,0.8380147172409353,1.2896016836166382,0.2032543271780014,35.911155700683594,0.25150400400161743,0.5428112745285034,0.8471083045005798,0.0,0.00625
26,1.4396554416823155,0.23047888206625447,39.796477975197206,0.24766078027128016,0.6042088704201781,0.8509515419747066,1.2609695196151733,0.2036435455083847,37.164302825927734,0.2527379095554352,0.5282645225524902,0.8458743691444397,0.0,0.006500000000000001
27,1.3615343397103468,0.23050317052498603,41.65852081891403,0.2553799476438356,0.5650752915919406,0.8432323556501888,1.2036503553390503,0.18003743886947632,39.53057098388672,0.25773730874061584,0.5113570690155029,0.8408750891685486,0.0,0.006750000000000001
28,1.318651899550725,0.21857806244521466,43.14523496905577,0.2541104608658448,0.5495697555032749,0.8445018228975315,1.1984748840332031,0.1825515776872635,39.76607131958008,0.2510276138782501,0.5075068473815918,0.8475847244262695,0.0,0.006999999999999999
29,1.3590066919049013,0.25091152486291907,42.8375595611276,0.24855387442320295,0.5535716101961229,0.8500584196118475,1.2122936248779297,0.19554802775382996,39.53323745727539,0.22815591096878052,0.5079809427261353,0.8704564571380615,0.0,0.0072499999999999995
30,1.3399273596921013,0.22347031099703704,43.072282439296686,0.22876922222017085,0.5578055451217206,0.8698430923582281,1.1981159448623657,0.19639497995376587,40.34072494506836,0.21462225914001465,0.5004976391792297,0.8839900493621826,0.0,0.0075
31,1.3018424892888485,0.21372806707632194,45.08097757876498,0.2258765066711648,0.5436183370432808,0.8727358568061903,1.124864101409912,0.16575804352760315,44.391754150390625,0.2224973738193512,0.4791288673877716,0.8761149644851685,0.0,0.007750000000000001
32,1.2951999613382283,0.23276324121697436,47.40214123772186,0.21851239027907549,0.5307843482610092,0.8800999140276492,1.0894619226455688,0.17012056708335876,44.94101333618164,0.204842209815979,0.45929813385009766,0.8937700986862183,0.0,0.008
33,1.2579882260665154,0.20862672731135656,44.963050434890306,0.1942368087548654,0.5243317004546378,0.9043754941051446,1.2029666900634766,0.22084034979343414,40.212669372558594,0.15618941187858582,0.49089014530181885,0.9424228668212891,0.0,0.00825
34,1.271204146366675,0.2315727900532843,42.99091479847732,0.1647196961838065,0.5195825441369732,0.9338926215773647,1.1573865413665771,0.20234613120555878,43.291282653808594,0.1523294299840927,0.4773459732532501,0.9462829828262329,0.0,0.0085
35,1.253024737811783,0.21079772696333024,46.39641200685964,0.15098102882649134,0.520926801903734,0.9476312780843198,1.0698951482772827,0.16530242562294006,46.351619720458984,0.13914260268211365,0.4521673917770386,0.9594696760177612,0.0,0.00875
36,1.1998470327229176,0.20777893630624975,48.655571724604634,0.14310072507094412,0.4958678825387677,0.9555115931242415,1.0594056844711304,0.15566861629486084,46.75554656982422,0.12460067123174667,0.4517948627471924,0.9740116000175476,0.0,0.009000000000000001
