epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl
1,1.0255324840545654,1.0255324840545654,0.01769110281020403,1.055503487586975,1.055503487586975,0.01666884869337082
2,0.9979808032512665,0.9979808032512665,0.02100896555930376,1.046379804611206,1.046379804611206,0.024116231128573418
3,1.0163586139678955,1.0163586139678955,0.03015858493745327,1.0397802591323853,1.0397802591323853,0.037407286465168
4,0.9878654181957245,0.9878654181957245,0.040920522063970566,1.0275235176086426,1.0275235176086426,0.06035349518060684
5,0.9733248054981232,0.9733248054981232,0.060138462111353874,1.007515549659729,1.007515549659729,0.09854474663734436
6,0.9478389918804169,0.9478389918804169,0.09911099821329117,0.9450641870498657,0.9450641870498657,0.15995486080646515
7,0.9164758026599884,0.9164758026599884,0.14944971352815628,0.8718892931938171,0.8718892931938171,0.25565552711486816
8,0.8560158014297485,0.8560158014297485,0.2594650387763977,0.7492198944091797,0.7492198944091797,0.4016890227794647
9,0.7540988922119141,0.7540988922119141,0.3692391812801361,0.6530707478523254,0.6530707478523254,0.6223579049110413
10,0.6543042957782745,0.6543042957782745,0.5686504691839218,0.464809775352478,0.464809775352478,0.959918200969696
11,0.48753510415554047,0.48753510415554047,0.8821313679218292,0.3356238007545471,0.3356238007545471,1.4625961780548096
12,0.3958391547203064,0.3958391547203064,1.3453108072280884,0.2787645757198334,0.2787645757198334,2.0120694637298584
13,0.34434546530246735,0.34434546530246735,1.5838735103607178,0.2614012062549591,0.2614012062549591,2.2283852100372314
14,0.34148378670215607,0.34148378670215607,1.9214113354682922,0.22364383935928345,0.22364383935928345,2.195880889892578
15,0.28918714821338654,0.28918714821338654,1.921101450920105,0.22467252612113953,0.22467252612113953,2.0108730792999268
16,0.2904510796070099,0.2904510796070099,1.6444789171218872,0.1965390294790268,0.1965390294790268,1.795721411705017
17,0.28138963878154755,0.28138963878154755,1.4007116556167603,0.19377486407756805,0.19377486407756805,1.6547601222991943
18,0.2468351274728775,0.2468351274728775,1.3652111291885376,0.19668681919574738,0.19668681919574738,1.5942555665969849
19,0.2504896745085716,0.2504896745085716,1.302152395248413,0.20280292630195618,0.20280292630195618,1.619956135749817
20,0.2772660404443741,0.2772660404443741,1.2318615317344666,0.19673247635364532,0.19673247635364532,1.713881492614746
21,0.27389945089817047,0.27389945089817047,1.3812986612319946,0.19449763000011444,0.19449763000011444,1.8172242641448975
22,0.2557189464569092,0.2557189464569092,1.362244963645935,0.19663967192173004,0.19663967192173004,1.8903692960739136
23,0.2463628575205803,0.2463628575205803,1.6460829377174377,0.17643193900585175,0.17643193900585175,1.91927969455719
