node,n_members,members
cube1_cluster0,3,216|457|474
cube10_cluster0,5,88|94|223|431|483
cube11_cluster0,6,94|144|223|379|421|483
cube12_cluster0,3,144|379|421
cube18_cluster0,3,94|223|483
cube19_cluster0,6,94|144|223|379|421|483
cube19_cluster1,3,186|305|339
cube20_cluster0,3,186|305|339
cube20_cluster1,3,144|379|421
cube27_cluster0,3,186|305|339
cube28_cluster0,3,186|305|339
