epoch,train_total,train_recon,train_kl_z,train_kl_c,train_reg,train_entropy,val_total,val_recon,val_kl_z,val_kl_c,val_reg,val_entropy,beta_kl_z,beta_kl_c
1,4.014899779339226,1.016600783990354,1.7353836200675186,0.0023085100158136717,1.4996973373452012,1.0963037987144626,4.010006427764893,1.0584192276000977,1.6099249124526978,0.0005446649738587439,1.4763426780700684,1.0980676412582397,0.0,0.00025
2,3.9699824780833963,1.011441515416515,1.7971811586496782,0.004143302167328645,1.479816704380269,1.0944690339419307,3.9671173095703125,1.0525329113006592,1.650286316871643,0.0013199275126680732,1.4578404426574707,1.0972923040390015,0.0,0.0005
3,3.9031153309101962,1.005423620039103,1.9247603270472313,0.007220861901129995,1.4493887619096406,1.0913914952959334,3.9118294715881348,1.0518696308135986,1.7370139360427856,0.002177567221224308,1.4305273294448853,1.0964347124099731,0.0,0.00075
4,3.8129080315025483,0.9954553574931865,2.150014249645934,0.00924717433446524,1.4092664183402548,1.0893651441651948,3.837733745574951,1.0425777435302734,1.9064079523086548,0.003077420173212886,1.3981242179870605,1.0955349206924438,0.0,0.001
5,3.7050187198483213,0.9845952549759223,2.5415962277626503,0.009675689706844943,1.3607500840206534,1.0889365843364172,3.7294721603393555,1.018626093864441,2.2055745124816895,0.003741886466741562,1.3559681177139282,1.0948704481124878,0.0,0.00125
6,3.5804293301640726,0.963287319455828,3.1531543731689453,0.01324440886703681,1.3091037541019672,1.0853679496414808,3.5953612327575684,0.9906336665153503,2.71730375289917,0.004464853089302778,1.3029074668884277,1.0941474437713623,0.0,0.0015
7,3.4093120244084574,0.925380815048607,4.106303312340561,0.013360549106585736,1.242496563463795,1.085251808166504,3.433562994003296,0.9589707851409912,3.5803868770599365,0.005096318665891886,1.2378383874893188,1.0935159921646118,0.0,0.0017499999999999998
8,3.166680773910211,0.8770757329707243,5.434422736265222,0.016900736268381684,1.1453264927377507,1.0817115550138512,3.1702792644500732,0.8530033230781555,5.028890609741211,0.008286622352898121,1.1591747999191284,1.0903257131576538,0.0,0.002
9,2.90908424708308,0.7827855348587036,7.80771490992332,0.0225357889596905,1.06366207891581,1.0760764929713036,2.908691644668579,0.7537161111831665,7.295195579528809,0.015063606202602386,1.0780125856399536,1.083548665046692,0.0,0.0022500000000000003
10,2.675940664447084,0.6725061937254302,10.617916457507075,0.02826417617651881,1.0022170884268624,1.0703481606074743,2.6094136238098145,0.587300717830658,10.557635307312012,0.019519230350852013,1.0115716457366943,1.079093098640442,0.0,0.0025
11,2.444898235554598,0.5345593058333105,14.939134948107661,0.03346679466111319,0.9556560479864782,1.0651455241806653,2.3652257919311523,0.41417014598846436,14.441041946411133,0.02562018670141697,0.9760290384292603,1.0729920864105225,0.0,0.0027500000000000003
12,2.2774602539685307,0.4267636817328784,18.496775023791255,0.04101527649529126,0.9258155214543246,1.0575971116825027,2.200700044631958,0.3314727544784546,16.878128051757812,0.029142087325453758,0.9351047277450562,1.0694701671600342,0.0,0.003
13,2.2310269998044383,0.3819233197338727,21.711052213396346,0.04335623006431424,0.925009049931351,1.055256108848416,2.0820059776306152,0.321237713098526,16.46480941772461,0.027246620506048203,0.8808756470680237,1.0713657140731812,0.0,0.0032500000000000003
14,2.1549250982245622,0.42661598446417826,19.842468144942302,0.03739395631211145,0.8646197452837107,1.0612183444354,1.998420238494873,0.32246771454811096,14.91054916381836,0.027946099638938904,0.8384626507759094,1.0706661939620972,0.0,0.0034999999999999996
15,2.015611137662615,0.3708273300102779,18.50419889177595,0.037591916413939726,0.8228519546742342,1.061020447283375,1.936381459236145,0.31170421838760376,14.071050643920898,0.02624361962080002,0.812825620174408,1.0723686218261719,0.0,0.00375
16,1.929588288676982,0.35952007405611935,16.533614255944077,0.03090768075567119,0.7855061864366337,1.0677046532533607,1.8803892135620117,0.30156949162483215,13.546610832214355,0.023409536108374596,0.7899006009101868,1.0752028226852417,0.0,0.004
17,1.872627929765351,0.35796078005615545,15.515678016506897,0.025374311421598707,0.7578162940181031,1.0732380322047643,1.7765179872512817,0.2687549293041229,14.250998497009277,0.022892460227012634,0.7543707489967346,1.0757197141647339,0.0,0.00425
