epoch,train_total,train_recon,train_kl,val_total,val_recon,val_kl
1,1.041266769170761,1.041266769170761,0.012598940171301365,0.7132852673530579,0.7132852673530579,0.006986705586314201
2,1.0206120610237122,1.0206120610237122,0.012036880943924189,0.7107983231544495,0.7107983231544495,0.009270190261304379
3,0.9987969696521759,0.9987969696521759,0.015203099232167006,0.7036306262016296,0.7036306262016296,0.013584158383309841
4,0.9544784724712372,0.9544784724712372,0.019631402567029,0.7014763951301575,0.7014763951301575,0.020565830171108246
5,0.9894958734512329,0.9894958734512329,0.031484220176935196,0.6846665143966675,0.6846665143966675,0.03182421997189522
6,0.9485072791576385,0.9485072791576385,0.04389636963605881,0.6735522747039795,0.6735522747039795,0.04979657009243965
7,0.9345455169677734,0.9345455169677734,0.07733441516757011,0.6601765751838684,0.6601765751838684,0.07814384996891022
8,0.9241400063037872,0.9241400063037872,0.11165325716137886,0.6089749336242676,0.6089749336242676,0.12341605126857758
9,0.828908771276474,0.828908771276474,0.17308799177408218,0.5325026512145996,0.5325026512145996,0.19404268264770508
10,0.7664397656917572,0.7664397656917572,0.27861684560775757,0.46530407667160034,0.46530407667160034,0.3038639724254608
11,0.6620592474937439,0.6620592474937439,0.3944871872663498,0.38035979866981506,0.38035979866981506,0.471767395734787
12,0.5081435143947601,0.5081435143947601,0.6698022484779358,0.29327115416526794,0.29327115416526794,0.7159565091133118
13,0.43974293768405914,0.43974293768405914,0.9699597656726837,0.2994026243686676,0.2994026243686676,0.9652950763702393
14,0.4094977527856827,0.4094977527856827,1.3334353566169739,0.2879806458950043,0.2879806458950043,1.0922813415527344
15,0.4198721647262573,0.4198721647262573,1.4191595911979675,0.28525078296661377,0.28525078296661377,1.1042451858520508
16,0.38512732088565826,0.38512732088565826,1.4516013264656067,0.2614578306674957,0.2614578306674957,1.0039016008377075
17,0.34614263474941254,0.34614263474941254,1.2567322850227356,0.25120487809181213,0.25120487809181213,0.9076907634735107
