Height (cm),Weight (kg),Abdomen Circumference,Ankle Circumference Left,Arm Length Left,Arm Volume Left,Bicep Circumference Left,Calf Circumference Left,Chest,Collar Circumference,Forearm Circumference Left,Head Circumference,Hip Circumference,Horizontal Waist,Inseam Left,Leg Volume Left,MidThigh Circumference Left,Narrow Waist,Outside Leg Length Left,Seat Circumference,Surface Area Arm Left,Surface Area Leg Left,Surface Area Torso,Surface Area Total,Thigh Circumference Left,Torso Volume,Upper Arm Circumference Left,Volume,Waist Circumference,Ankle Circumference Right,Arm Length Right,Arm Volume Right,Bicep Circumference Right,Calf Circumference Right,Forearm Circumference Right,Inseam Right,Leg Volume Right,MidThigh Circumference Right,Outside Leg Length Right,1  Surface Area Arm Right,1  Surface Area Leg Right,1  Thigh Circumference Right,Upper Arm Circumference Right,ALM_scaled,BMD_scaled,BFP_scaled,Age_scaled
-1.0197637248744353,-1.1666425807331617,-0.7523014890925295,-1.2643008940713807,-0.9694719765946626,-1.0809168980063633,-1.001432421652373,-1.165886426075978,-1.233985983387612,-1.114058403026446,-1.3588073403792096,-0.8848678326984354,-1.0632193033741406,-1.2473570874497686,-0.923002949590915,-1.196586688889908,-1.0366489424365313,-1.2070481350253968,-1.0225803114510104,-1.0688725474200285,-1.0634504788596986,-1.2295431968383763,-1.1834642498676782,-1.2234263915181103,-1.178969583825988,-1.1777161562746803,-1.2116813964281854,-1.1981459758989528,-1.2508881172112558,-1.4288926766582386,-0.7107143250003857,-0.9555218683742855,-0.9946365462518313,-1.356684122318709,-1.4018957937550833,-0.87413569475022,-1.2008690679057863,-0.9409837064089144,-1.1217937343303201,-1.3792485190467645,-1.1447913434338546,-1.155430053267541,-0.9799528723534416,-0.9894821032881822,-0.9772610736421421,-1.0423061183304718,-0.7952472913023941
0.5432020492616046,-0.5629044528390253,-0.8112498173091091,0.016374390398159126,0.39015836027698814,-0.6807777707572518,-0.9452487902863566,-0.44852413023404936,-0.6899430873544459,-0.44126395649994404,-0.8944521350515839,-1.268446548038114,-0.8048020428825713,-0.8419441251676202,1.3574847072423561,-0.1598317487425455,-0.4944889078701495,-0.47757289976725237,0.6965889732174474,-0.7062304269029551,-0.2850244820707366,0.13198393502421762,-0.6455322365048626,-0.23039043494458755,-0.8448280165907556,-0.7434469041703472,-0.9149081521045004,-0.627818039213942,-0.7712200062326907,0.06043034779993986,0.7271129836867042,-0.4877230842233006,-0.8926270117698936,-0.568261137011474,-0.5689490735765398,1.300357877957774,-0.13970958428706937,-0.43254025990444334,0.8599200258818616,-0.1548383937021097,0.14313309434982424,-0.8251956313581397,-0.6338163111855436,0.015182872929142596,-0.3588811852358148,-1.5764020271081371,-0.6924316784427179
-0.3283402039741052,0.5284683168157591,0.894235181614247,2.0816649751389584,-0.08832317232304811,0.18797359794501808,0.573516772886679,1.6456425307825149,0.7689893683192928,0.1698561035937856,0.714778835135532,-2.231039521894342,0.8618056983474727,0.9419060895827933,-0.3420093365184837,1.2236198183769649,1.314896961479159,0.7292920809207255,-0.059882961142335905,0.9102714138971219,0.33387933287154503,0.709878532991384,0.27745450838258817,0.4614403116283682,1.2391601790605655,0.49063443446545724,0.44097727416590593,0.6040120309682111,0.9453839130515579,2.2808465611132567,-0.1558987795512651,0.1252547334116639,0.7159075689034239,1.4994149400616168,0.43702844527376006,-0.3308877320933723,1.1083710718828945,1.2860181072632573,-0.07611406910336044,0.29666216384561134,0.6098305611532979,1.0850768536034237,0.5697495211221878,0.2059420456286347,-0.8741977589077541,1.3914793816855595,-0.7952472913023941
0.7233207815969843,-0.41584003706994077,-0.5301525287492886,-0.5674904624101049,0.8771567803846401,-0.012829343893367954,-0.9786878416623772,-0.8473251802752552,-0.40506427710538373,-0.21724908784595398,-0.21850650365102603,-0.01598182637290743,-0.31411311929850766,-0.5769408629583638,0.5791086652249096,-0.2695431298118831,-0.35720494646682444,-0.5969488267994201,0.7482517167093903,-0.21890033318972324,0.1684890089639634,0.10113954236027436,-0.1623715867269622,-0.0017143357394678056,-0.4577046418925076,-0.4430934003030484,-0.5793140665252494,-0.38434891229950113,-0.48542514679078896,-0.42084606364072635,0.3447531393577768,-0.14973806022263939,-0.9850888558323397,-0.8811393824972079,-0.23932429151121778,0.5976770877439502,-0.3025011243935761,-0.40089324527419573,0.7234381272592778,-0.05193802148505822,0.1142557026302433,-0.44484404032737057,-0.811416783759929,-0.213728134310248,-0.30734952786862085,-1.049942641998632,-0.5896160655830416
0.9383012040617921,0.6136108733136502,0.4524180522955974,0.8152486009565101,0.6153672053554406,-0.28917688657559826,-0.19015885989000397,0.4586468059836429,0.5032705488480435,0.7116159114682887,-0.09269598004009286,0.0897575533309961,0.47595239048463295,0.7005164319151383,0.463185651400061,0.21190253927499766,-0.32441863454631503,0.6027934852112208,0.6788857596320701,0.5736456134871356,0.23019578281326342,0.5506093283882861,1.0650020829195639,0.7466061541613574,0.030373563412787487,0.7679177127849425,0.20136878509766917,0.5641090762677711,0.7542628054641531,0.5309319142083505,0.5207447448811796,-0.33242922256490365,-0.10234625038108659,0.5058661086488375,-0.14381306759741153,0.5050708927736518,0.25429156764166655,-0.2231401895316131,0.6787109132912023,0.3910212559080206,0.7010616613552547,0.0018993274319212001,0.2778456302127307,0.5493085564877204,0.9809419063112277,-0.03597181468355291,1.8779586430491895
0.9847834575676973,0.6677925001759447,0.7013831859958789,-0.08719032642387214,1.136153933280195,1.0689017728700605,0.3581210815906917,-0.0034237908494847494,0.595541030751722,0.1773545092391073,0.9320879213725979,0.9611958895114451,0.5699625893650787,1.0184982260936075,1.053453105578482,0.29737139111517674,-0.07189427464792252,0.9794402048688003,1.865767074286342,0.5276411450050917,1.0722089669741526,0.6752111235255612,0.7593254861061651,0.8132378325927799,0.07155690114664415,0.7694995383600046,1.0161798488133937,0.6865576301288103,0.8958453219649025,-0.20335382132301222,1.0623810102819722,0.6449308002757276,0.7041823350549264,-0.2442491059505545,0.9901050674723126,1.0588309099946962,0.10239075348552285,-0.17364816224642282,1.8727145395056262,1.2434016239226202,0.6319029903908481,-0.03420659010712898,0.7971272887779751,0.5111567219478222,0.15643538843612506,0.4477022857327879,2.083589868768542
0.02027669732017874,-0.7099688686081097,-0.22979957385820132,-1.0421620811777474,0.16159860863816178,-0.9257855478229896,-0.8001956079660522,-0.9155751287096893,-0.38918165317114406,-0.834930252879341,-1.2593026535232894,0.39968332142864577,-0.5369521092373418,-0.6847781670710621,0.05588857579924057,-0.824778907862801,-0.9452658177219204,-0.6308527297035441,-0.38926486775488683,-0.5050798543676754,-0.526012124101557,-0.5331262342860318,-0.3185520885023933,-0.5161682108028943,-0.7654666117144326,-0.5759648444330038,-0.4954155451304366,-0.6812823606159762,-0.5820559787869816,-1.903384926411929,-0.2909060385829162,-0.7687887082256091,-1.1994931319191713,-1.1358954931158696,-1.2210908256949942,0.10461167128046668,-0.9132396482910381,-1.0944786980736858,-0.3010280593428239,-0.7317728793928848,-0.6731308951355152,-0.6932743087677002,-0.5133675477786934,-0.773288374228758,-0.3588811852358148,-0.09993902872110288,-0.07553800128466012
-0.15984203501520095,-0.39261933984324343,-0.38041904976228647,0.4962992919031522,-0.10368149405809439,-0.49992257644412413,-0.24287808503237818,-0.22385267836069717,-0.47741845280580947,-0.4975019988398573,-0.7446232387512907,-0.2566300698369658,-0.17610488121138818,-0.20089282810382664,0.005759704956063736,-0.27582912765115897,-0.24070890198331188,-0.4257198717962393,0.27886122188556,-0.1560804382970013,-0.5663066995864123,-0.18480973320266772,-0.4417611907525844,-0.3620112339342107,-0.1811084411664737,-0.45490282312164876,-0.275004175364403,-0.42402404756502665,-0.2762622066471339,0.13186357968043597,-0.0016047692293773579,-0.3996987301198091,-0.2112234218314307,-0.07912940462364437,-0.7546406623950102,0.02326839191466281,-0.20382291480234782,-0.1394916927115739,0.29959452822847016,-0.4746190403752345,-0.20998358147811477,-0.10049058797732563,-0.3290071956253521,-0.5316600888094015,-0.6680711294389787,0.24827535158795144,-0.743839484872556
0.6013048661439853,-0.27651585370975573,-0.4808320336983435,-0.010267257769826428,0.05688277862648202,-0.4772252726398306,-0.21275281352244999,-0.08550818829089861,-0.16732912837541358,-0.2725498294802029,-0.298567745948892,-0.14724450462602923,-0.2742300046219543,-0.5935312174372402,0.39425845399069176,-0.16406502427746608,-0.1360717362795582,-0.6479471345291526,0.3341837643398651,-0.19098037990406944,-0.3287121476983625,0.10678057673581702,-0.007042282813230898,-0.026676138713132378,-0.45380892075552076,-0.3388351814419592,-0.3034443521084072,-0.32692260204101514,-0.45362259448824505,-0.44678550538503986,0.35198567109161555,-0.3869878161313617,-0.2865999251432074,-0.13574187365001303,-0.39925006178549793,0.37367021072120093,-0.19697533720021193,-0.1394916927115739,0.3081139975557233,-0.17488363254506084,0.020022944929569065,-0.3322151333771992,-0.14464684347201073,0.0024655947491767287,0.10490373106893107,-1.3090468700857703,-0.33257703343385087
-0.44454583773886647,-0.36165841020764655,-0.01450232300706704,0.28429181000298015,-0.4073574010919653,-0.23194400880098093,-0.2451374803956229,-0.1408459843188175,-0.25480961258463897,-0.7974382246527312,0.006808706815827405,-0.7598036698072651,0.06540953544107006,0.10575222384741012,-0.17846389539261492,-0.15254851331073294,-0.04747893598371373,-0.0254258921299006,-0.13180226633293174,0.0850464309881916,-0.31132940688240374,-0.1739445830056532,-0.46042316740110406,-0.31917590116195266,0.14167988161239872,-0.32967093005790776,-0.26505011350400143,-0.30005513572702514,-0.009610037341186817,0.45510893064804625,-0.5094892198722568,-0.3064173750848205,-0.4147399807732281,-0.20084621303033873,-0.12271175068622121,-0.20824709551108395,-0.1858326357819049,-0.09557623188105378,-0.08335561803152446,-0.38736149985419704,-0.1555438816218723,0.06656664242723495,-0.37048827485985386,-0.607963757889198,-0.4104128426030088,1.234849608081024,-0.8466550977322322
