region,n_subjects,umap_1_center,umap_2_center,ALM_scaled_mean,ALM_scaled_std,ALM_scaled_min,ALM_scaled_max,BMD_scaled_mean,BMD_scaled_std,BMD_scaled_min,BMD_scaled_max,BFP_scaled_mean,BFP_scaled_std,BFP_scaled_min,BFP_scaled_max,Age_scaled_mean,Age_scaled_std,Age_scaled_min,Age_scaled_max,region_profile,label_x,label_y
0,56,3.651639938354492,8.268399238586426,-1.5242890696064009,0.3364450026053724,-2.057733470405338,-0.7987229305886901,-1.3122168465289028,0.48410843723735975,-2.1624891930876027,0.10490373106893107,-0.06425841603762693,0.841781593705101,-1.445007502129838,2.434709407415626,-0.8898009352715608,0.41088569164447714,-1.1551019363112611,2.0321820623387037,"Low ALM
Low BMD
Medium BFP
Low Age",3.651639938354492,8.268399238586426
1,114,12.608025550842285,3.843186855316162,0.7762115724355375,0.5028862156149525,-0.2773145252100787,1.9482091562839956,0.6875730849839569,0.6126578436540124,-1.08032438837653,2.0115750536551062,0.42158434560558417,0.8222775393295348,-1.325135125488213,2.8485860895989643,0.6937753124811635,0.9355938261637006,-0.7952472913023941,2.4948523202072472,"High ALM
High BMD
Medium BFP
High Age",12.608025550842285,3.843186855316162
2,75,8.416016578674316,6.570644855499268,-0.1270810789774119,0.44194955411341197,-1.1166548850878435,1.0071305709665015,-0.1197742950520349,0.6485534455463778,-1.4925776473140813,1.3931951652487795,-0.5999801281012062,1.040510217166659,-2.1008815083568737,2.194403514499213,-0.4134586488834628,0.6056277474618815,-0.9494707105919086,1.9807742559088657,"Medium ALM
Medium BMD
Low BFP
Medium Age",8.416016578674316,6.570644855499268
