kNN_graph,2.0,3.0,5.0,10.0,100.0,10000.0,1000000.0
2.0,2.1018892607799384,2.169903166133364,2.166365763742762,2.1436993328128544,2.174646411122349,2.0807009552962183,2.1007726468267616
5.0,2.145685251406124,2.0769851232702194,2.167712876152327,2.0710767091632385,2.110065856489691,2.1360166138628798,2.0755635144696662
10.0,2.1554916796770227,2.0305124775630548,2.17580041551369,2.0457532134299363,2.0607414573604523,2.1198882044241643,2.08802664003364
15.0,2.2266107790306107,2.1207160515752204,2.044742671811623,2.154247310508193,2.210927104342856,2.13466091384892,2.1421555388924323
20.0,2.040212945942093,2.083845318813818,2.09041072542907,2.1528573552153176,2.090567412946198,2.2105922379420604,2.065733858120385
25.0,2.124051170497028,2.171383327516103,1.9765640052583768,2.1430380911741977,2.152015206634964,2.1871582911926013,2.057747936405037
30.0,2.160655860372578,2.070039535806406,2.072383573713439,2.0606072025536006,2.119688480068522,2.154869473757881,2.1617904694285466
35.0,2.081698019294807,2.1561863230509832,2.248901703552991,2.192654764190417,2.034710031538816,2.230213553569127,2.087533148385092
40.0,2.0884223938698674,2.214878031661071,2.2062125332041256,2.139471730016429,1.994308432347195,2.1148558587505795,2.0257010215387
