source,target
cube57_cluster0,cube58_cluster0
cube57_cluster0,cube69_cluster0
cube57_cluster0,cube70_cluster0
cube58_cluster0,cube59_cluster0
cube58_cluster0,cube69_cluster0
cube58_cluster0,cube70_cluster0
cube69_cluster0,cube70_cluster0
