Task,Reduction,Dataset,fw_source,p,Best_K,Best_mu,kNN_graph,edge_metrics,RelRMSE_orig_pct,R2,best_epoch,best_lr,vae_latent_dim,vae_beta,source_file
AGE,VAEz15,female_80pct,none,1000000.0,1600,2.500000000000001e-18,5,l2,46.33887889032713,0.3581086945458276,48,0.0007122819337828,15,0.0,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30_age/female_pgnn_target-AGE_l2_fw-none_80pct_knn5_VAEz15/age/results_knn5_l2_fw-none_K1600_p1000000.0_mu2.5e-18_VAEz15.csv
AGE,VAEz15,male_80pct,none,2.0,10,0.02,35,l2,40.163978872436296,0.5467961920274131,54,0.000870576768765,15,0.0,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30_age/male_pgnn_target-AGE_l2_fw-none_80pct_knn35_VAEz15/age/results_knn35_l2_fw-none_K10_p2.0_mu0.02_VAEz15.csv
AGE,VAEz15,penn_data_80pct,none,10.0,40,5e-05,10,l2,37.97052285172006,0.5861972144826298,92,0.002224967839962,15,0.0,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30_age/penn_data_pgnn_target-AGE_l2_fw-none_80pct_knn10_VAEz15/age/results_knn10_l2_fw-none_K40_p10.0_mu5e-05_VAEz15.csv
