Task,space,Dataset,fw_source,p,K,mu_used,kNN_graph,edge_metrics,RelRMSE_orig_pct,R2,best_epoch,best_lr,weights_path,weights_dim,weights_top10,results_csv,run_folder
AGE,VAEz15,male_80pct,bmd_c2,5,30,0.001732051,5,l2,39.98909861,0.550734248,65,0.001203127,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/male_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn5_VAEz15/age/VAEz15_feature_weights_bmd_power2_knn5.npy,15,"4:1.334, 0:1.31, 12:1.295, 1:1.283, 5:1.276, 14:1.264, 2:1.226, 13:1.225, 9:1.121, 3:1.108",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/male_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn5_VAEz15/age/results_knn5_l2_fw-bmd_c2_K30_p5.0_mu0.00173_VAEz15.csv,male_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn5_VAEz15
AGE,VAEz15,male_80pct,none,2,5,0.028284271,40,l2,40.05419992,0.549270263,55,0.000898581,,0,,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/male_pgnn_target-AGE_l2_fw-none_80pct_knn40_VAEz15/age/results_knn40_l2_fw-none_K5_p2.0_mu0.0283_VAEz15.csv,male_pgnn_target-AGE_l2_fw-none_80pct_knn40_VAEz15
AGE,VAEz15,penn_data_80pct,age_c,1000000,3200,1.77E-18,40,l2,38.26033689,0.579856325,97,0.002441569,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-age_c_80pct_knn40_VAEz15/age/VAEz15_feature_weights_age_power1_knn40.npy,15,"5:1.521, 4:1.307, 2:1.293, 12:1.289, 8:1.285, 13:1.27, 7:1.248, 14:1.24, 0:1.119, 1:1.058",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-age_c_80pct_knn40_VAEz15/age/results_knn40_l2_fw-age_c_K3200_p1000000.0_mu1.77e-18_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-age_c_80pct_knn40_VAEz15
AGE,VAEz15,penn_data_80pct,age_c2,3,15,0.008164966,15,l2,37.82352813,0.589394913,123,0.003668994,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-age_c2_80pct_knn15_VAEz15/age/VAEz15_feature_weights_age_power2_knn15.npy,15,"5:1.967, 4:1.452, 2:1.422, 12:1.414, 8:1.405, 13:1.372, 7:1.324, 14:1.307, 0:1.064, 1:0.9526",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-age_c2_80pct_knn15_VAEz15/age/results_knn15_l2_fw-age_c2_K15_p3.0_mu0.00816_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-age_c2_80pct_knn15_VAEz15
AGE,VAEz15,penn_data_80pct,alm_c,10,40,5.00E-05,10,l2,37.98923791,0.585789205,108,0.002942393,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-alm_c_80pct_knn10_VAEz15/age/VAEz15_feature_weights_alm_power1_knn10.npy,15,"0:1.267, 1:1.244, 7:1.222, 3:1.213, 4:1.199, 2:1.196, 8:1.145, 14:1.14, 5:1.132, 13:1.118",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-alm_c_80pct_knn10_VAEz15/age/results_knn10_l2_fw-alm_c_K40_p10.0_mu5e-05_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-alm_c_80pct_knn10_VAEz15
AGE,VAEz15,penn_data_80pct,alm_c2,10,40,5.00E-05,20,l2,38.23655001,0.580378586,137,0.004378208,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn20_VAEz15/age/VAEz15_feature_weights_alm_power2_knn20.npy,15,"0:1.468, 1:1.415, 7:1.366, 3:1.345, 4:1.314, 2:1.308, 8:1.199, 14:1.19, 5:1.172, 13:1.143",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn20_VAEz15/age/results_knn20_l2_fw-alm_c2_K40_p10.0_mu5e-05_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-alm_c2_80pct_knn20_VAEz15
AGE,VAEz15,penn_data_80pct,bfp_c,1000000,3200,1.77E-18,25,l2,38.26439199,0.579767282,119,0.003471151,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn25_VAEz15/age/VAEz15_feature_weights_bfp_power1_knn25.npy,15,"6:1.957, 11:1.955, 12:1.328, 9:1.303, 13:1.217, 14:1.075, 8:1.043, 4:0.9584, 2:0.8799, 10:0.8144",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn25_VAEz15/age/results_knn25_l2_fw-bfp_c_K3200_p1000000.0_mu1.77e-18_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-bfp_c_80pct_knn25_VAEz15
AGE,VAEz15,penn_data_80pct,bfp_c2,3,15,0.008164966,25,l2,38.24739203,0.58014058,103,0.002710874,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn25_VAEz15/age/VAEz15_feature_weights_bfp_power2_knn25.npy,15,"6:3.073, 11:3.067, 12:1.415, 9:1.363, 13:1.188, 14:0.9279, 8:0.8738, 4:0.7372, 2:0.6214, 10:0.5323",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn25_VAEz15/age/results_knn25_l2_fw-bfp_c2_K15_p3.0_mu0.00816_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-bfp_c2_80pct_knn25_VAEz15
AGE,VAEz15,penn_data_80pct,bmd_c,5,30,0.001732051,35,l2,37.78111241,0.590315308,117,0.003373247,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn35_VAEz15/age/VAEz15_feature_weights_bmd_power1_knn35.npy,15,"1:1.254, 0:1.227, 7:1.201, 14:1.183, 2:1.182, 4:1.175, 5:1.153, 13:1.102, 12:1.088, 8:1.056",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn35_VAEz15/age/results_knn35_l2_fw-bmd_c_K30_p5.0_mu0.00173_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-bmd_c_80pct_knn35_VAEz15
AGE,VAEz15,penn_data_80pct,bmd_c2,5,30,0.001732051,10,l2,37.80908451,0.589708449,113,0.003179688,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn10_VAEz15/age/VAEz15_feature_weights_bmd_power2_knn10.npy,15,"1:1.471, 0:1.407, 7:1.348, 14:1.309, 2:1.307, 4:1.291, 5:1.244, 13:1.136, 12:1.106, 8:1.042",/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn10_VAEz15/age/results_knn10_l2_fw-bmd_c2_K30_p5.0_mu0.00173_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-bmd_c2_80pct_knn10_VAEz15
AGE,VAEz15,penn_data_80pct,none,10000,400,5.00E-13,20,l2,38.30189079,0.578943202,99,0.002530245,,0,,/scratch/gsunka1/TDA_guoji/PGNN_ALL_RESULTS_mar30age_VAE_L2_WEIGHTS/penn_data_pgnn_target-AGE_l2_fw-none_80pct_knn20_VAEz15/age/results_knn20_l2_fw-none_K400_p10000.0_mu5e-13_VAEz15.csv,penn_data_pgnn_target-AGE_l2_fw-none_80pct_knn20_VAEz15
